Name,ID,Centraility,Popularity,Threshold
Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,0.2598857924322284,78,0
Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,0.20816534363363054,81,0
Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,0.1561836451228742,76,0
Franz Schubert,2p0UyoPfYfI76PCStuXfOP,0.1410503737382016,68,0
Giuseppe Verdi,1JOQXgYdQV2yfrhewqx96o,0.13611489766157653,64,0
Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,0.13509547652740775,67,0
George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,0.1258244400564646,70,0
Traditional,1U5zgr455OGyIkLNXvDdrf,0.11097178649908676,70,0
Felix Mendelssohn,6MF58APd3YV72Ln2eVg710,0.10993696808808713,63,0
Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,0.10613194290716327,73,0
Anonymous,4kCZ5nyurc9eIqLJfUcW0Y,0.101771647867726,61,0
Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,0.10013536361952513,63,0
Richard Wagner,1C1x4MVkql8AiABuTw6DgE,0.09892748349674486,60,0
Franz Joseph Haydn,656RXuyw7CE0dtjdPgjJV6,0.08443980883279215,62,0
Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,0.08326142219247612,56,0
Giacomo Puccini,0OzxPXyowUEQ532c9AmHUR,0.0807586142097564,65,0
Gioachino Rossini,0roWUeP7Ac4yK4VN6L2gF4,0.07651945669552772,57,0
Claude Debussy,1Uff91EOsvd99rtAupatMP,0.07436558176198718,71,0
Antonín Dvořák,6n7nd5iceYpXVwcx8VPpxF,0.0726512907733267,63,0
Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd,0.07226333265672788,58,0
Camille Saint-Saëns,436sYg6CZhNefQJogaXeK0,0.07161406261854393,64,0
Antonio Vivaldi,2QOIawHpSlOwXDvSqQ9YJR,0.0711729058148897,72,0
Maurice Ravel,17hR0sYHpx7VYTMRfFUOmY,0.06639508765779628,63,0
Charles Gounod,42Vmza0WYHdhsgxFmf9Tui,0.062423293258042765,56,0
Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,0.059553939622682135,76,0
Gaetano Donizetti,2jCGEMSZXMSOImpD8sqo56,0.05879022063007109,53,0
Franz Liszt,1385hLNbrnbCJGokfH2ac2,0.05844408887659086,66,0
Gabriel Fauré,2gClsBep1tt1rv1CN210SO,0.05837740940432471,64,0
Sergei Rachmaninoff,0Kekt6CKSo0m5mivKcoH51,0.05565581543830375,66,0
London Symphony Orchestra,5yxyJsFanEAuwSM5kOuZKc,0.050005414480862535,76,0
Wiener Philharmoniker,003f4bk13c6Q3gAUXv7dGJ,0.04900929774304514,69,0
Jules Massenet,1AoIc5YFH0aSFc4mKqBEeB,0.04750021690189216,52,0
Edvard Grieg,5ihY290YPGc3aY2xTyx7Gy,0.04732588473215645,63,0
Gustav Mahler,2ANtgfhQkKpsW6EYSDqldz,0.04596493086414944,57,0
Benjamin Britten,7MJ1pB5d6Vjmzep2zQlorn,0.04544778314648256,56,0
Philharmonia Orchestra,09KZU0NsS7jRa5p0SflmGY,0.04441103804218635,65,0
Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,0.041725180568596434,59,0
Hector Berlioz,11T8SOX82xraocZzUXzkvM,0.040736163465306834,48,0
Igor Stravinsky,7ie36YytMoKtPiL7tUvmoE,0.04071280699408489,56,0
Carl Maria von Weber,1p6wR69pnH9LBWZvwliuz2,0.04031728917822746,43,0
Johann Strauss II,5goS0v24Fc1ydjCKQRwtjM,0.04007031528817371,58,0
Vienna State Opera Chorus,7dG0oG7NmmndPNaORvzwj9,0.03958517158107267,49,0
Edward Elgar,430byzy0c5bPn5opiu0SRd,0.03947102993772686,61,0
Anonymous ,35y6unM66rGPWHTRFNrqKS,0.03900031084231916,48,0
London Philharmonic Orchestra,3PfJE6ebCbCHeuqO4BfNeA,0.0389016100699268,69,0
Dmitri Shostakovich,6s1pCNXcbdtQJlsnM1hRIA,0.03859140614635399,60,0
Henry Purcell,3tMLo1k3iUo82coMLWXzxq,0.038514913477843415,54,0
Berliner Philharmoniker,6uRJnvQ3f8whVnmeoecv5Z,0.038246314777573065,72,0
Bavarian Radio Chorus,536pGG9V0mbcKOSgw37g4m,0.03795565433689381,48,0
Herbert von Karajan,5zCaQxjl110XTrm4LQ1CxY,0.037777125858162536,68,0
Plácido Domingo,4pU3BpenOZFEBzORx2YBJW,0.03735884217101406,61,0
César Franck,1C3sffOOvQNUwg4YIsvKqy,0.03673643010914779,51,0
Jacques Offenbach,4OihBPCQzR4GfbzqOY69Xm,0.036209686107626,51,0
Bavarian Radio Symphony Orchestra,74gWOpgM97HU3Mn8A8d0Vm,0.03614855122363959,56,0
Leonard Bernstein,2LmyJyCF5V1eQyvHgJNbTn,0.03601738193982175,66,0
Nikolai Rimsky-Korsakov,2kXJ68O899XvWOBdpzlXgs,0.03562342833846206,52,0
Vincenzo Bellini,6AphpMkKDU4I3Z6XaGu1UV,0.035468033203433696,50,0
Francis Poulenc,4IAWVxo2fpTBPn6k7GZ3eY,0.034474759526838886,50,0
Christoph Willibald Gluck,7vfydQ0nVBVgJ0ajs8EtRM,0.033828021122923484,55,0
Vienna State Opera Orchestra,5VFkAGIv1Pioeb6e2JfpOE,0.0337681539836225,45,0
Royal Philharmonic Orchestra,0MvSBMGRQJY3mRwIbJsqF1,0.03314705819786961,73,0
